event_id,date_of_event,country,Place,Orchestra,program,conductor
46,1922-07-28,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 21,Felix von Weingartner
46,1922-07-28,Brazil,Rio de Janeiro,Vienna Philharmonic,Berl 14,Felix von Weingartner
46,1922-07-28,Brazil,Rio de Janeiro,Vienna Philharmonic,Leopoldo Miguez Ave libertas,Felix von Weingartner
47,1922-07-29,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 55,Felix von Weingartner
47,1922-07-29,Brazil,Rio de Janeiro,Vienna Philharmonic,Str 24,Felix von Weingartner
47,1922-07-29,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 70/1,Felix von Weingartner
47,1922-07-29,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 90/1,Felix von Weingartner
47,1922-07-29,Brazil,Rio de Janeiro,Vienna Philharmonic,Weingartner 57,Felix von Weingartner
48,1922-07-30,Brazil,Rio de Janeiro,Vienna Philharmonic,Gold 13,Felix von Weingartner
48,1922-07-30,Brazil,Rio de Janeiro,Vienna Philharmonic,Tsch 74,Felix von Weingartner
48,1922-07-30,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 70/Bac,Felix von Weingartner
48,1922-07-30,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 90/1,Felix von Weingartner
48,1922-07-30,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 96/1,Felix von Weingartner
49,1922-08-05,Uruguay,Montevideo,Vienna Philharmonic,Bee 84,Felix von Weingartner
49,1922-08-05,Uruguay,Montevideo,Vienna Philharmonic,Berl 14,Felix von Weingartner
49,1922-08-05,Uruguay,Montevideo,Vienna Philharmonic,Lis Préludes,Felix von Weingartner
49,1922-08-05,Uruguay,Montevideo,Vienna Philharmonic,Wag 70/Bac,Felix von Weingartner
50,1922-08-06,Uruguay,Montevideo,Vienna Philharmonic,Bee 67,Felix von Weingartner
50,1922-08-06,Uruguay,Montevideo,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
50,1922-08-06,Uruguay,Montevideo,Vienna Philharmonic,Viv Concerto für Streicher,Felix von Weingartner
50,1922-08-06,Uruguay,Montevideo,Vienna Philharmonic,Web 77,Felix von Weingartner
50,1922-08-06,Uruguay,Montevideo,Vienna Philharmonic,Weingartner 49,Felix von Weingartner
51,1922-08-07,Uruguay,Montevideo,Vienna Philharmonic,Bee 21,Felix von Weingartner
51,1922-08-07,Uruguay,Montevideo,Vienna Philharmonic,Gold 13,Felix von Weingartner
